Record ID,Step Name,Relative Time(h:min:s.ms),Realtime,Auxiliary channel TU1 T(°C),Gap of Temperature
283,Rest,0:04:32.000,2019-11-15 19:33:21,36.6,0.0
284,Rest,0:04:33.000,2019-11-15 19:33:22,36.5,0.0
285,Rest,0:04:34.000,2019-11-15 19:33:23,36.5,0.0
286,Rest,0:04:35.000,2019-11-15 19:33:24,36.5,0.0
287,Rest,0:04:36.000,2019-11-15 19:33:25,36.5,0.0
288,Rest,0:04:37.000,2019-11-15 19:33:26,36.5,0.0
289,Rest,0:04:38.000,2019-11-15 19:33:27,36.5,0.0
290,Rest,0:04:39.000,2019-11-15 19:33:28,36.5,0.0
291,Rest,0:04:40.000,2019-11-15 19:33:29,36.5,0.0
292,Rest,0:04:41.000,2019-11-15 19:33:30,36.4,0.0
293,Rest,0:04:42.000,2019-11-15 19:33:31,36.4,0.0
294,Rest,0:04:43.000,2019-11-15 19:33:32,36.4,0.0
295,Rest,0:04:44.000,2019-11-15 19:33:33,36.3,0.0
296,Rest,0:04:45.000,2019-11-15 19:33:34,36.3,0.0
297,Rest,0:04:46.000,2019-11-15 19:33:35,36.3,0.0
298,Rest,0:04:47.000,2019-11-15 19:33:36,36.3,0.0
299,Rest,0:04:48.000,2019-11-15 19:33:37,36.3,0.0
300,Rest,0:04:49.000,2019-11-15 19:33:38,36.3,0.0
301,Rest,0:04:50.000,2019-11-15 19:33:39,36.2,0.0
302,Rest,0:04:51.000,2019-11-15 19:33:40,36.2,0.0
303,Rest,0:04:52.000,2019-11-15 19:33:41,36.2,0.0
304,Rest,0:04:53.000,2019-11-15 19:33:42,36.2,0.0
305,Rest,0:04:54.000,2019-11-15 19:33:43,36.2,0.0
306,Rest,0:04:55.000,2019-11-15 19:33:44,36.2,0.0
307,Rest,0:04:56.000,2019-11-15 19:33:45,36.2,0.0
308,Rest,0:04:57.000,2019-11-15 19:33:46,36.1,0.0
309,Rest,0:04:58.000,2019-11-15 19:33:47,36.1,0.0
310,Rest,0:04:59.000,2019-11-15 19:33:48,36.1,0.0
311,Rest,0:05:00.000,2019-11-15 19:33:49,36.1,0.0
312,Rest,0:05:01.000,2019-11-15 19:33:50,36.1,0.0
313,Rest,0:05:02.000,2019-11-15 19:33:51,36.1,0.0
314,Rest,0:05:03.000,2019-11-15 19:33:52,36.0,0.0
315,Rest,0:05:04.000,2019-11-15 19:33:53,36.0,0.0
316,Rest,0:05:05.000,2019-11-15 19:33:54,36.0,0.0
317,Rest,0:05:06.000,2019-11-15 19:33:55,36.0,0.0
318,Rest,0:05:07.000,2019-11-15 19:33:56,35.9,0.0
319,Rest,0:05:08.000,2019-11-15 19:33:57,36.0,0.0
320,Rest,0:05:09.000,2019-11-15 19:33:58,35.9,0.0
321,Rest,0:05:10.000,2019-11-15 19:33:59,35.9,0.0
322,Rest,0:05:11.000,2019-11-15 19:34:00,35.9,0.0
323,Rest,0:05:12.000,2019-11-15 19:34:01,35.9,0.0
324,Rest,0:05:13.000,2019-11-15 19:34:02,35.8,0.0
325,Rest,0:05:14.000,2019-11-15 19:34:03,35.8,0.0
326,Rest,0:05:15.000,2019-11-15 19:34:04,35.8,0.0
327,Rest,0:05:16.000,2019-11-15 19:34:05,35.8,0.0
328,Rest,0:05:17.000,2019-11-15 19:34:06,35.7,0.0
329,Rest,0:05:18.000,2019-11-15 19:34:07,35.8,0.0
330,Rest,0:05:19.000,2019-11-15 19:34:08,35.7,0.0
331,Rest,0:05:20.000,2019-11-15 19:34:09,35.7,0.0
332,Rest,0:05:21.000,2019-11-15 19:34:10,35.7,0.0
333,Rest,0:05:22.000,2019-11-15 19:34:11,35.7,0.0
334,Rest,0:05:23.000,2019-11-15 19:34:12,35.6,0.0
335,Rest,0:05:24.000,2019-11-15 19:34:13,35.6,0.0
336,Rest,0:05:25.000,2019-11-15 19:34:14,35.6,0.0
337,Rest,0:05:26.000,2019-11-15 19:34:15,35.6,0.0
338,Rest,0:05:27.000,2019-11-15 19:34:16,35.5,0.0
339,Rest,0:05:28.000,2019-11-15 19:34:17,35.6,0.0
340,Rest,0:05:29.000,2019-11-15 19:34:18,35.5,0.0
341,Rest,0:05:30.000,2019-11-15 19:34:19,35.5,0.0
342,Rest,0:05:31.000,2019-11-15 19:34:20,35.5,0.0
